"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","value_count_RNase"
"YMR229C","RRP5","RRP5",1.72028749965531,1.81853451903524,NA,25.4535929224471,24.9977008246628,24.8952276423463,23.8232688067588,25.4535929224471,24.9977008246628,24.8952276423463,3,23.1220412072404,23.0259735631255,23.0684653778294,23.1220412072404,23.0259735631255,23.0684653778294,3
"YPL231W","FAS2","FAS2",2.28140664010964,1.66327828346874,NA,24.2095533166239,NA,23.2868668026721,23.730730397123,24.2095533166239,21.6717566344724,23.2868668026721,2,NA,NA,NA,21.1262612332454,20.6423923494973,21.061306860097,0
"YHR174W","ENO2","ENO2",1.62527377571043,1.63172823713874,28.3194566523132,29.8469699575846,28.579746365049,28.6246372937315,28.3194566523132,29.8469699575846,28.579746365049,28.6246372937315,4,26.7520028534002,27.9136494790879,26.9866340418893,26.7520028534002,27.9136494790879,26.9866340418893,3
"YJL080C","SCP160","SCP160",1.88231141959198,1.55884917673637,NA,23.7620267328653,NA,23.1785998148725,23.7244632601601,23.7620267328653,21.6822881644891,23.1785998148725,2,NA,NA,NA,21.0202032824012,21.1934148210484,21.3999811170646,0
"YOR046C","DBP5","DBP5",1.7763388666313,1.55521327007298,NA,22.9321996103744,22.9685641464529,NA,23.8236952250362,22.9321996103744,22.9685641464529,21.5112406145348,2,NA,NA,NA,20.8832363055723,20.8242767906388,21.3902450011938,0
"YCR012W","PGK1","PGK1",1.77273623534229,1.48468409627432,26.8530525067579,28.976399802772,27.2623958362682,27.3383263070349,26.8530525067579,28.976399802772,27.2623958362682,27.3383263070349,4,25.288663061515,26.5750929010744,25.6406661710085,25.288663061515,26.5750929010744,25.6406661710085,3
"YNR016C;YMR207C","ACC1","ACC1",1.75765943628653,1.47886549261573,NA,23.759895495739,23.6472423348724,NA,23.8123732476152,23.759895495739,23.6472423348724,21.7157814000252,2,21.9082987900013,NA,NA,21.9082987900013,21.1433716357605,21.3768206240674,1
"YGR155W","CYS4","CYS4",1.66391897643377,1.44351415151282,NA,23.3459747514119,NA,22.4413910690023,23.8321103093765,23.3459747514119,21.7761154136024,22.4413910690023,2,NA,NA,NA,21.1630742133045,21.1652548520398,21.2266076628992,0
"YBR121C","GRS1","GRS1",2.10419066454321,1.41095961936053,NA,24.2413268407488,22.6321414531692,NA,23.8557266317953,24.2413268407488,22.6321414531692,21.5969589746532,2,NA,NA,NA,20.9570392009867,20.8777202369063,21.0972839937523,0
"YPL160W","CDC60","CDC60",2.12116641501031,1.40924539738269,NA,24.3798748807518,22.6401751966494,NA,23.8925770892124,24.3798748807518,22.6401751966494,21.6144832471871,2,NA,NA,NA,21.0878112487375,20.7187389944505,21.2252833221317,0
"YER043C","SAH1","SAH1",2.33327887088162,1.40635490966303,NA,26.1122535211135,22.8246006505873,23.5802640889074,23.7491288923664,26.1122535211135,22.8246006505873,23.5802640889074,3,NA,22.2708485059993,21.7277509800442,21.2012492660427,22.2708485059993,21.7277509800442,2
